tempo_min,temperatura_C,radiacao_uSv_h,poeira_pct,consumo_W,bateria_pct,indice_risco_real,condicao_real,temp_norm,rad_norm,poeira_norm,V_entrada,ajuste,estado_memristor,LED,evento
60,23.7,0.44,10.0,19.0,93.4,0.097,NORMAL,0.05376344086021505,0.09130434782608696,0.052980132450331126,14.345696602670678,B_entrega,0.0,APAGADO,NORMAL
65,22.4,0.29,15.4,18.0,91.3,0.068,NORMAL,0.007168458781361981,0.02608695652173912,0.12450331125827815,13.68193509170075,B_entrega,0.0,APAGADO,NORMAL
70,22.8,0.45,11.4,19.0,91.5,0.09,NORMAL,0.021505376344086072,0.09565217391304348,0.07152317880794702,14.269415986302938,B_entrega,0.0,APAGADO,NORMAL
75,23.9,0.44,13.0,19.0,91.1,0.106,NORMAL,0.06093189964157703,0.09130434782608696,0.09271523178807947,14.814732183861782,B_entrega,0.0,APAGADO,NORMAL
80,23.9,0.45,16.1,18.2,89.2,0.113,NORMAL,0.06093189964157703,0.09565217391304348,0.1337748344370861,15.286197775569239,B_entrega,0.0,APAGADO,NORMAL
85,25.2,0.5,12.9,19.5,89.1,0.132,NORMAL,0.1075268817204301,0.1173913043478261,0.0913907284768212,15.632654362842079,B_entrega,0.0,APAGADO,NORMAL
90,24.7,0.44,16.8,19.9,86.2,0.124,NORMAL,0.08960573476702509,0.09130434782608696,0.14304635761589404,15.604781793394409,B_entrega,0.0,APAGADO,NORMAL
95,24.8,0.55,20.1,20.5,87.1,0.149,NORMAL,0.09318996415770614,0.13913043478260873,0.18675496688741725,16.747275397407755,B_entrega,0.0,APAGADO,NORMAL
100,27.3,0.62,15.5,20.7,86.9,0.182,NORMAL,0.18279569892473121,0.16956521739130437,0.12582781456953643,17.460148178420937,B_entrega,0.0,APAGADO,NORMAL
105,26.7,0.7,20.4,19.0,85.5,0.197,NORMAL,0.16129032258064516,0.20434782608695654,0.19072847682119204,18.381057559235764,B_entrega,0.0,APAGADO,NORMAL
110,27.5,0.67,22.1,19.6,86.8,0.206,NORMAL,0.1899641577060932,0.191304347826087,0.2132450331125828,18.710352777751975,B_entrega,0.0,APAGADO,NORMAL
115,27.1,0.72,24.7,21.0,83.9,0.214,NORMAL,0.17562724014336925,0.21304347826086958,0.247682119205298,19.215702289138846,B_entrega,0.0,APAGADO,NORMAL
120,28.4,0.79,22.5,21.3,83.8,0.237,NORMAL,0.22222222222222218,0.24347826086956526,0.2185430463576159,19.816348337972293,B_entrega,0.0,APAGADO,NORMAL
125,29.6,0.91,24.2,21.6,83.5,0.274,NORMAL,0.2652329749103943,0.29565217391304355,0.2410596026490066,21.202056210376618,B_entrega,0.0,APAGADO,NORMAL
130,29.5,0.95,29.9,24.7,83.6,0.291,NORMAL,0.2616487455197133,0.3130434782608696,0.31655629139072844,22.16465906475659,B_entrega,0.0,APAGADO,NORMAL
135,31.5,0.98,31.6,22.4,80.8,0.325,NORMAL,0.3333333333333333,0.32608695652173914,0.3390728476821192,23.28927920145887,B_entrega,0.0,APAGADO,NORMAL
140,31.7,1.1,33.8,23.2,81.8,0.35,NORMAL,0.34050179211469533,0.3782608695652175,0.3682119205298013,24.38278930035801,B_entrega,0.0,APAGADO,NORMAL
145,32.8,1.16,36.3,23.5,80.2,0.379,NORMAL,0.3799283154121863,0.4043478260869565,0.40132450331125824,25.473397752451838,B_entrega,0.0,APAGADO,NORMAL
150,33.6,1.28,36.7,23.7,78.7,0.408,NORMAL,0.40860215053763443,0.4565217391304348,0.40662251655629145,26.543551018765346,B_entrega,0.0,APAGADO,NORMAL
155,36.3,1.29,41.0,23.3,78.9,0.453,ATENCAO,0.5053763440860214,0.46086956521739136,0.46357615894039733,28.14169894330767,B_entrega,0.0,APAGADO,NORMAL
160,36.0,1.39,43.6,24.6,77.9,0.47,ATENCAO,0.4946236559139785,0.5043478260869565,0.4980132450331126,28.987238574688302,B_entrega,0.0,APAGADO,NORMAL
165,36.3,1.47,44.1,23.8,76.6,0.488,ATENCAO,0.5053763440860214,0.5391304347826087,0.504635761589404,29.64794714371078,B_entrega,0.003563709290409292,APAGADO,NORMAL
170,38.6,1.5,51.7,24.7,76.2,0.537,ATENCAO,0.5878136200716846,0.5521739130434783,0.6052980132450332,31.661551115775872,B_entrega,0.018202240427176587,APAGADO,NORMAL
175,38.1,1.65,51.3,24.9,75.1,0.553,ATENCAO,0.5698924731182796,0.6173913043478261,0.6,32.34240299205236,B_entrega,0.03658545688346455,APAGADO,NORMAL
180,40.0,1.73,50.4,25.7,74.6,0.588,ATENCAO,0.6379928315412187,0.6521739130434783,0.5880794701986755,33.39115780000763,B_entrega,0.06073682478350653,APAGADO,NORMAL
185,39.4,1.79,56.3,27.9,74.2,0.602,ATENCAO,0.6164874551971326,0.6782608695652175,0.6662251655629139,34.32277838151351,B_entrega,0.09001210588183083,APAGADO,NORMAL
190,40.7,1.86,55.2,24.9,74.1,0.627,ATENCAO,0.6630824372759857,0.7086956521739132,0.6516556291390729,35.06911979458537,B_entrega,0.12339226475205035,APAGADO,NORMAL
195,42.6,1.87,60.7,27.3,71.3,0.664,ATENCAO,0.7311827956989247,0.7130434782608697,0.7245033112582782,36.539469765224204,B_entrega,0.16485934846078348,APAGADO,NORMAL
200,43.7,1.98,63.4,25.8,72.9,0.701,CRITICA,0.7706093189964158,0.7608695652173914,0.7602649006622516,37.96091610963015,B_entrega,0.2141443870637493,APAGADO,NORMAL
205,44.1,2.04,61.2,27.0,69.3,0.711,CRITICA,0.7849462365591398,0.7869565217391306,0.7311258278145696,38.178111948084926,B_entrega,0.2646240027782164,APAGADO,NORMAL
210,44.5,2.07,66.4,28.6,69.9,0.731,CRITICA,0.7992831541218638,0.8,0.8,39.19283154121864,B_entrega,0.3206845762549189,APAGADO,NORMAL
215,45.0,2.15,66.8,28.0,69.6,0.751,CRITICA,0.8172043010752688,0.8347826086956522,0.805298013245033,39.91197966494215,B_entrega,0.38070046441210076,AMARELO,OBSERVACAO
220,44.7,2.22,69.0,27.3,68.7,0.762,CRITICA,0.8064516129032259,0.8652173913043479,0.8344370860927153,40.521930468220276,B_entrega,0.44407108198731227,AMARELO,OBSERVACAO
225,45.7,2.31,72.3,27.8,67.4,0.795,CRITICA,0.8422939068100359,0.9043478260869566,0.8781456953642384,41.865265586960135,B_entrega,0.514830042715593,AMARELO,OBSERVACAO
230,46.3,2.28,69.2,29.1,67.0,0.792,CRITICA,0.8637992831541217,0.8913043478260869,0.8370860927152318,41.48711462825875,B_entrega,0.5835091731710161,AMARELO,OBSERVACAO
235,47.8,2.32,69.1,28.2,66.1,0.818,CRITICA,0.9175627240143368,0.908695652173913,0.8357615894039734,42.25498226461789,B_entrega,0.6564115756264145,AMARELO,OBSERVACAO
240,47.7,2.33,69.8,29.1,65.3,0.819,CRITICA,0.913978494623656,0.9130434782608696,0.8450331125827815,42.37272476771655,B_entrega,0.7299615618488555,VERMELHO,ALERTA_CRITICO
245,46.5,2.29,70.7,29.1,65.7,0.799,CRITICA,0.8709677419354839,0.8956521739130435,0.856953642384106,41.81834427797851,B_entrega,0.8004624553777373,VERMELHO,ALERTA_CRITICO
250,48.2,2.39,72.9,28.6,64.7,0.841,CRITICA,0.931899641577061,0.9391304347826088,0.8860927152317881,43.32774965504501,B_entrega,0.8792650784804849,VERMELHO,ALERTA_CRITICO
255,48.0,2.41,74.3,31.0,63.3,0.845,CRITICA,0.9247311827956989,0.9478260869565219,0.904635761589404,43.56323466124233,B_entrega,0.9593628691173177,VERMELHO,ALERTA_CRITICO
260,48.0,2.52,74.8,29.9,63.8,0.86,CRITICA,0.9247311827956989,0.9956521739130436,0.9112582781456954,44.299025044196554,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
265,49.1,2.43,76.3,27.8,62.7,0.866,CRITICA,0.96415770609319,0.9565217391304349,0.9311258278145695,44.34413968690368,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
270,49.6,2.47,75.1,29.7,62.4,0.876,CRITICA,0.982078853046595,0.973913043478261,0.9152317880794701,44.6078890199563,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
275,49.6,2.47,78.4,29.0,61.7,0.883,CRITICA,0.982078853046595,0.973913043478261,0.9589403973509935,45.04497511267154,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
280,48.5,2.43,75.3,30.3,60.0,0.856,CRITICA,0.9426523297491038,0.9565217391304349,0.9178807947019867,43.996635592336986,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
285,49.0,2.53,81.5,29.0,59.6,0.886,CRITICA,0.9605734767025089,1.0,1.0,45.60573476702509,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
290,49.6,2.53,77.6,29.6,59.9,0.886,CRITICA,0.982078853046595,1.0,0.948344370860927,45.30423223907522,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
295,50.1,2.53,74.8,30.2,59.2,0.887,CRITICA,1.0,1.0,0.9112582781456954,45.11258278145695,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
300,49.2,2.47,74.6,30.5,58.1,0.87,CRITICA,0.967741935483871,0.973913043478261,0.9086092715231787,44.39829467876615,B_entrega,1.0,VERMELHO,ALERTA_CRITICO
